Street;Number
ANTONIO RIVERO;41
CABILDO;2653
BENITO PEREZ GALDOS;2640
MAIPU;1074
TELLIER;211
GDOR GREGORES;1584
GDOR PARADELO;800
CACIQUE CAPIPE;2657
AYOHUMA;399
BATALLA DE PUERTO ARGENTINO;2564
ALMAFUERTE;1252
TONINA;255
CABO BUEN TIEMPO;463
PORTUGAL;2921
ALFONSO BRIGANDO;525
PJE RVDO PDRE TARCISIO FANTIN;1458
SANTA CRUZ;129
RAMIRO RAMOS;1579
CRUZ DEL SUR;1562
JOSE BACH;857
ANTONIO MANZONI;2767
BENITO PEREZ GALDOS;282
PJE VIRICAT;1115
ANTONIO BERUTTI;2997
AGUSTIN BORGHIALE;2817
A C MURIEGA V DE BRUNETTI;2015
MAGALLANES;408
FORTIN SAN CARLOS;2689
CABO BUEN TIEMPO;1470
ALEJANDRO A BONINI;177
CHALTEN;1716
A GARDINER;2877
CACHO VASQUEZ;1143
AV ASTURIAS;2431
ANTONIO MACHADO;2114
BAHIA LAURA;2317
ALBERTO GRILLO;2486
ANGEL CARNOTA;1906
CACIQUE IBANEZ RUFINO;1787
ALEJANDRO A BONINI;84
AMERICA;1546
PANAMA;1935
PJE S N;2162
ANTONIO SOTO;2584
ALBERTO GINASTERA;1906
BENITO TRESGUERRES;422
ANTONIO BERNI;2219
ALMTE BROWN;2351
BONIFACIO CAMPOS;899
RAMIRO RAMOS;2059
ALBERTO GINASTERA;1461
VENEZUELA;262
TRES LAGOS;1054
CORMORANES;194
SAENZ PENA;1977
ESPANA;1398
PJE S N;767
ANTONIO RIVERO;1893
PORTUGAL;63
PORTUGAL;467
SAN JULIAN;1365
RVDO PADRE JOSE KOLTUN;1783
CRUZ DEL SUR;113
2 DE ABRIL;415
PJE COCCOZ;1254
PEATONAL;1098
PORTUGAL;202
LAGO DEL DESIERTO;2701
ANGELA BRUNETTI;2958
20 DE JUNIO;132
ANTONIO MACHADO;2069
SARMIENTO;551
DESEADO;2475
PROVINCIAS UNIDAS;826
ANGEL BANCIELLA;769
BARTOLOME PEREZ;2847
ITALIA;1904
ANTONIO BERUTTI;2128
ARSENIO TUR;2584
GRL SAN MARTIN;2076
GRL SAN MARTIN;981
YUGOSLAVIA;273
ACONCAGUA;2104
A RODRIGUEZ;2355
ACONCAGUA;344
CABO BUEN TIEMPO;381
A SUREDA;1500
ALFEREZ A SANCHEZ;2706
BAHIA BUEN SUCESO;484
DR ANGEL OYOLI;2040
PERITO MORENO;2203
PAMPA ALTA;506
PROVINCIAS UNIDAS;456
PJE S N;691
CALLE S N;2323
FACON GRANDE;2256
ALEJANDRO A BONINI;2560
EUFRASIA ARIAS;1378
TEHUELCHE;2924
CMTE LUIS PIEDRABUENA;1668
CACHO VASQUEZ;2889
PREFECTURA NAVAL ARGENTINA;885
BRASIL;2038
A FADUL LAVAQUE;1034
VENEZUELA;1037
ANTONIO BERNI;2597
GDOR RAMON LISTA;518
GRL SAN MARTIN;147
BELLA VISTA;305
BUENOS AIRES;1225
CRISTOBAL COLON;973
FARO PINGUINO;2444
PREFECTURA NAVAL ARGENTINA;1059
VENEZUELA;2567
MINERALES;414
AGUSTIN BORGHIALE;796
ALMAFUERTE;994
LEZCANO MAESTRO;1968
DR ANGEL OYOLI;2428
RECONQUISTA;2881
JULIA DE LOPEZ;2599
GDOR RAMON LISTA;1169
ALBERDI;2581
YUGOSLAVIA;1529
RIO GALLEGOS;1948
VAPOR LOIRE;479
PEATONAL;1432
JOSE BACH;204
ANTONIO BERNI;1043
MAGALLANES;1964
AYOHUMA;1264
ALFRED NOBEL;93
SAENZ PENA;2911
VAPOR LOIRE;1989
MALVINAS;1913
CRUCERO GRL BELGRANO;370
MARTIN FIERRO;122
RAMIRO RAMOS;290
FITZ ROY;2828
19 DE DICIEMBRE;2285
LOS ANTIGUOS;2457
PJE VIRICAT;1431
19 DE DICIEMBRE;1570
SARMIENTO;1500
DR FERNANDEZ;1784
ANTONIO BERUTTI;2600
AV ASTURIAS;147
MONS ALEMAN;616
FACON GRANDE;1713
ALBERTO JUAN BARK;2884
1 DE MAYO;247
A BUSTAMANTE;1490
DR RENE FAVALORO;1362
PUEYRREDON;1731
CMTE LUIS PIEDRABUENA;44
CHALTEN;2229
GRL SAN MARTIN;1586
A BUSTAMANTE;1961
AFRICA;349
19 DE DICIEMBRE;233
ANTONIO RIVERO;918
1 DE MAYO;1469
ALFONSO BRIGANDO;2991
ESPANA;826
PERITO MORENO;1453
ABUELA PAREDES;941
DON BOSCO;2362
GDOR GREGORES;2334
BELLA VISTA;1873
PJE AMELUNG;2690
PJE S N;1353
TONINA;241
ARTURO H ILLIA;2825
ADOLFO BAQUIANO PAREJAS;2387
LAS HERAS;2821
AFRICA;966
DR FIORILLO;1770
RIO GALLEGOS;296
13 DE JULIO;965
RAMIRO RAMOS;2499
ALFONSO BRIGANDO;2148
PJE JENKINS;595
CACHO VASQUEZ;2705
ANGELA BRUNETTI;2630
SGT CABRAL;1908
GDOR RAMON LISTA;1486
A FADUL LAVAQUE;580
LOS ANTIGUOS;1160
CACIQUE CASIMIRO BIGUA;1976
DR FIORILLO;609
CABILDO;2352
CHALTEN;28
RAMIRO RAMOS;553
A BUSTAMANTE;621
MARIANO MORENO;2133
CALLE S N;2743
GDOR RAMON LISTA;57
ANTONIO BALADO;699
GRL SAN MARTIN;2565
PICO TRUNCADO;459
CORMORANES;1611
ALFONSINA STORNI;656
AMERICA;649
ALBERDI;2257
GDOR GREGORES;1494
A BUSTAMANTE;2010
RIO GALLEGOS;2137
PJE S N;2949
AGUSTIN BORGHIALE;1781
IGARZABAL;558
RECONQUISTA;1980
RIVADAVIA;2685
AMADO NERVO;809
PESCADORES;2122
ANGEL VICENTE PENALOZA;2206
LOS FERROVIARIOS;964
RAMIRO RAMOS;2206
AV PRES NESTOR C KIRCHNER;2091
GDOR GREGORES;562
A SUREDA;524
FORTIN SAN CARLOS;2528
9 DE JULIO;1848
ALEJANDRO SOLAR;2626
BUENOS AIRES;1455
DR AMERICO TOSELLO;1781
CRUZ DEL SUR;998
PASEO DE LOS NAVEGANTES;2462
YUGOSLAVIA;1530
PEATONAL;730
ARTURO H ILLIA;1819
PJE S N;1591
CABILDO;2629
SAN JULIAN;1741
25 DE MAYO;2210
BAHIA AGUIRRE;1146
ALBERTO GRILLO;415
PJE S N;2188
CHALTEN;1334
LAGO DEL DESIERTO;868
ALEJANDRO SOLAR;2675
MONS ALEMAN;822
MAIPU;2380
ALBERT EINSTEIN;201
MARIANO MORENO;1132
ALFONSO BRIGANDO;2026
FACON GRANDE;1428
ARTURO W FENTON;853
BATALLA DE PUERTO ARGENTINO;43
SARMIENTO;713
BARTOLOME PEREZ;839
ALBERTO GINASTERA;1146
ALEJANDRO SOLAR;1423
PEATONAL;2683
PREFECTURA NAVAL ARGENTINA;963
ALMAFUERTE;2941
PERITO MORENO;1324
PESCADORES;1787
ALMTE BROWN;1992
FACON GRANDE;1131
CABO PRIM VICTOR GUERRERO;1457
LOS FERROVIARIOS;2244
ALFEREZ A SANCHEZ;443
PUEYRREDON;78
CACHO VASQUEZ;202
AMADO NERVO;1821
9 DE JULIO;1889
ANGEL BANCIELLA;2143
AMEGHINO;554
RIO COLORADO;648
BENITO QUINQUELA MARTIN;556
TELLIER;2259
KOLEL KAIKE;1354
ALMAFUERTE;380
PJE LORENZO WINTER;808
ALFRED NOBEL;1734
ARSENIO TUR;1562
ALBERTO JUAN BARK;695
PICO TRUNCADO;457
LAS HERAS;1024
SGT CABRAL;2558
BERNARDINO RIVADAVIA;2443
RIO TURBIO;804
GRL SAN MARTIN;1896
ADOLFO IGLESIAS;1485
BATALLA DE PUERTO ARGENTINO;2129
MARIANO MORENO;155
TTE ESTEVEZ;2139
EUFRASIA ARIAS;624
BUENOS AIRES;1283
BENITO QUINQUELA MARTIN;269
AMERICA;705
TELLIER;1790
ORKEKE;1349
CORMORANES;2648
PREFECTURA NAVAL ARGENTINA;2162
CACIQUE CASIMIRO BIGUA;1300
CABO PRIM VICTOR GUERRERO;1336
ARSENIO TUR;1327
DR RENE FAVALORO;1917
COMODORO PY;2613
MAIPU;1831
LAGO ARGENTINO;966
FARO PINGUINO;2629
LOS ANTIGUOS;1789
A SUREDA;1915
CABO PRIM VICTOR GUERRERO;2333
GRL SAN MARTIN;1943
A GARDINER;1150
DR FIORILLO;2116
SAN JULIAN;1640
AMADO NERVO;1360
RIO GALLEGOS;573
ANGELA BRUNETTI;1577
ALEJANDRO SOLAR;2137
MONS ALEMAN;2559
CACIQUE CAPIPE;1688
ALFRED NOBEL;450
CRUZ DEL SUR;2691
ORKEKE;1581
AYOHUMA;2879
AVELLANEDA;900
BUENOS AIRES;2902
YUGOSLAVIA;2817
BAHIA LAURA;1385
AGUSTIN BORGHIALE;1626
SARMIENTO;2082
AFRICA;2271
19 DE DICIEMBRE;1638
A SUREDA;2548
YUGOSLAVIA;691
MINERALES;2245
ALFONSINA STORNI;834
ALFRED NOBEL;2615
ADOLFO IGLESIAS;1482
LAGO DEL DESIERTO;467
BENIGNO LAGO;576
MAIPU;2753
ANGELA BRUNETTI;2679
CACIQUE CASIMIRO BIGUA;2309
CACIQUE CAPIPE;2527
JOSE BACH;1730
SAENZ PENA;2888
SANTA CRUZ;1297
BRASIL;1164
FORTIN SAN CARLOS;2490
PEATONAL;1711
GRL SAN MARTIN;1525
CACIQUE IBANEZ RUFINO;2740
MALVINAS;1656
ARSENIO TUR;1250
ALEJANDRO SOLAR;846
DON BOSCO;674
ANTONIO MACHADO;653
PROVINCIAS UNIDAS;1809
JULIA DE LOPEZ;690
AVELLANEDA;2537
DR ANGEL OYOLI;1948
ALEJANDRO A BONINI;2254
JOSE BACH;658
PJE S N;1494
AMADO NERVO;2703
LAS HERAS;1422
RIO GALLEGOS;2656
CRUCERO GRL BELGRANO;1613
VAPOR LOIRE;487
BELL GRAHAM;1403
PJE NOYA;2323
LEZCANO MAESTRO;1474
COLONOS;2418
ALCORTA;95
ALFEREZ A SANCHEZ;1188
FACON GRANDE;2889
9 DE JULIO;2617
AGUSTIN BORGHIALE;333
BATALLA DE PUERTO ARGENTINO;2947
ANTARTIDA ARGENTINA;529
ALVEAR;872
TONINA;1581
ARTURO W FENTON;2534
ANGEL BANCIELLA;2253
CALLE S N;2367
JULIA DE LOPEZ;555
PREFECTURA NAVAL ARGENTINA;1907
ARSENIO TUR;1466
CABILDO;1265
CACIQUE CAPIPE;2237
CABILDO;2619
BAHIA LAURA;2543
ADOLFO BAQUIANO PAREJAS;1446
PUEYRREDON;2755
MARIANO MORENO;855
EL CALAFATE;568
CRUZ DEL SUR;806
AMEGHINO;1726
ARTURO H ILLIA;1617
1 DE MAYO;2847
MAGALLANES;648
ALBERTO GINASTERA;2227
ANTONIO BERUTTI;1019
CACHO VASQUEZ;1237
A BUSTAMANTE;1760
BRASIL;2928
PJE S N;2846
MARTIN FIERRO;977
A RODRIGUEZ;2201
IGARZABAL;1432
ALVEAR;2404
IGARZABAL;1453
ALBERTO WILLIAMS;2615
FORTIN SAN CARLOS;1067
ANGEL CARNOTA;1416
13 DE JULIO;122
FACON GRANDE;2707
FASIOLI;1100
AVELLANEDA;2817
CRUZ DEL SUR;1920
ESPANA;38
A BUSTAMANTE;2982
CACIQUE CASIMIRO BIGUA;595
PANAMA;1984
PJE COCCOZ;291
25 DE MAYO;2824
CACHO VASQUEZ;288
ALFRED NOBEL;1169
ANGEL VICENTE PENALOZA;1627
FARO PINGUINO;2486
BRASIL;595
A FADUL LAVAQUE;2971
17 DE OCTUBRE;2360
MARTIN FIERRO;1400
13 DE JULIO;1347
PJE S N;1547
PORTUGAL;2659
MONS ALEMAN;1644
ANGELA BRUNETTI;1102
RIO TURBIO;467
VENEZUELA;2916
MARIANO MORENO;2381
IGR BRIANO;1108
FORTIN SAN CARLOS;957
PJE S N;2647
BARTOLOME PEREZ;595
LAGO DEL DESIERTO;1022
13 DE JULIO;848
PJE AMELUNG;1776
1 DE MAYO;2438
EUFRASIA ARIAS;1442
TRES LAGOS;1944
DON BOSCO;1716
ALBERTO GRILLO;1979
ANTONIO BERUTTI;543
PJE AMELUNG;1319
MINERALES;396
GDOR RAMON LISTA;2697
ALBERTO GINASTERA;120
ANGEL VICENTE PENALOZA;196
CRUZ DEL SUR;2893
LEZCANO MAESTRO;2132
BELL GRAHAM;1101
2 DE ABRIL;2850
PAMPA ALTA;2940
DR FIORILLO;1420
BUENOS AIRES;274
EL CALAFATE;1378
FACON GRANDE;625
ALBERTO ENCINAS;1366
ALBERTO GRILLO;2665
MAIPU;741
PREFECTURA NAVAL ARGENTINA;918
ANGEL VICENTE PENALOZA;542
FACON GRANDE;848
JULIO ARGENTINO ROCA;264
BAHIA LAURA;408
ANTONIO MANZONI;2298
AMERICA;805
BARTOLOME PEREZ;351
TONINA;2507
1 DE MAYO;235
ALBERT SABIN;2744
PROVINCIAS UNIDAS;2242
PJE RVDO PDRE TARCISIO FANTIN;29
TONINA;2956
ANTONIO MACHADO;2450
PJE DUJON;782
PICO TRUNCADO;1966
2 DE ABRIL;450
CACHO VASQUEZ;1379
SAENZ PENA;1130
ARIAS;604
GDOR GREGORES;2652
AGUSTIN BORGHIALE;711
LEZCANO MAESTRO;1869
AVELLANEDA;1220
BELL GRAHAM;1104
PJE AMELUNG;1640
ALVEAR;2008
JULIO ARGENTINO ROCA;810
RIO GALLEGOS;699
LAS HERAS;73
ALMAFUERTE;602
ALBERT EINSTEIN;692
MAIPU;2043
17 DE OCTUBRE;476
BARTOLOME PEREZ;2116
PJE COCCOZ;1371
CMTE LUIS PIEDRABUENA;2708
ALEJANDRO SOLAR;1310
A GARDINER;1485
VAPOR LOIRE;763
AMERICA;1452
ESPANA;1305
LEZCANO MAESTRO;204
ALBERDI;2926
ESPANA;44
MARIANO MORENO;420
PJE VIRICAT;2663
MAIPU;1380
ANGEL BANCIELLA;2911
PJE RVDO PDRE TARCISIO FANTIN;1490
JULIO ARGENTINO ROCA;1171
EUFRASIA ARIAS;342
ANTARTIDA ARGENTINA;1029
GDOR PARADELO;2752
BARTOLOME MITRE;2509
ABUELA PAREDES;2027
PROVINCIAS UNIDAS;2893
ANTONIO MANZONI;844
RIVADAVIA;140
FORTIN SAN CARLOS;2556
DR ANGEL OYOLI;2166
PORTUGAL;1696
TRES LAGOS;2386
BENITO TRESGUERRES;2510
LOS ANTIGUOS;2805
ARSENIO TUR;2834
RUTA NAC N 281;1961
MAIPU;2283
PESCADORES;118
PORTUGAL;1752
A RODRIGUEZ;997
FITZ ROY;2634
MANUEL ESTRADA;788
CACIQUE CAPIPE;2106
JARAMILLO;2182
AYOHUMA;2433
COMODORO PY;1289
ANTONIO MANZONI;2908
ALBERTO ENCINAS;993
PJE JENKINS;2131
ALBERTO JUAN BARK;1363
CABO PRIM VICTOR GUERRERO;2253
IGARZABAL;364
ANTONIO BALADO;923
A SUREDA;2587
FITZ ROY;2296
ANTARTIDA ARGENTINA;1986
ADOLFO BAQUIANO PAREJAS;2950
MARIANO MORENO;1818
DR FIORILLO;2142
CHALTEN;1867
BENITO QUINQUELA MARTIN;1171
1 DE MAYO;1540
PUERTO ARGENTINO;1962
ACONCAGUA;1691
PJE AMELUNG;1147
BENITO QUINQUELA MARTIN;2208
AYOHUMA;2341
ARSENIO TUR;2878
ANTONIO BALADO;239
ABUELA PAREDES;499
LOS ANTIGUOS;2619
PJE RVDO PDRE TARCISIO FANTIN;1960
CRUCERO GRL BELGRANO;2817
ROSA DE WILSON;1980
JULIA DE LOPEZ;822
RIO TURBIO;1792
RUTA NAC N 281;1981
CORMORANES;2216
CACIQUE CAPIPE;2946
CABO PRIM VICTOR GUERRERO;1121
CHALTEN;2342
BELL GRAHAM;2509
BARTOLOME MITRE;254
ANTONIO BERNI;2295
BENITO PEREZ GALDOS;2668
ARSENIO TUR;2839
ADOLFO IGLESIAS;432
SAENZ PENA;2518
PJE S N;932
PJE S N;1465
PEATONAL;1789
ALBERTO GRILLO;1015
DR RENE FAVALORO;1209
TELLIER;2476
MALVINAS;2139
RAMON SANTOS;360
ALFONSO BRIGANDO;971
RVDO PADRE JOSE KOLTUN;593
BENITO QUINQUELA MARTIN;2449
RUTA NAC N 281;2544
ALBERT EINSTEIN;979
ALEJANDRO SOLAR;2237
LOS FERROVIARIOS;2800
ARTURO H ILLIA;2185
PATAGONIA;1927
ALEJANDRO SOLAR;1211
ANTONIO RIVERO;347
LAGO DEL DESIERTO;2144
9 DE JULIO;839
BONIFACIO CAMPOS;310
CACIQUE POCON;905
DR RENE FAVALORO;2804
RIO COLORADO;2797
A SUREDA;2696
GDOR RAMON LISTA;2438
DON BOSCO;2307
BONIFACIO CAMPOS;953
PJE NOYA;1605
ALBERT EINSTEIN;929
ADOLFO IGLESIAS;1935
ARSENIO TUR;2996
ANTONIO BALADO;309
BENITO PEREZ GALDOS;256
IGARZABAL;949
ANGEL VICENTE PENALOZA;2951
COLONOS;2546
AVELLANEDA;1881
JULIA DE LOPEZ;1512
SAN JULIAN;1766
A GARDINER;2842
ADOLFO BAQUIANO PAREJAS;2242
ALBERDI;1694
RVDO PADRE JOSE KOLTUN;2455
MONS ALEMAN;1614
LEZCANO MAESTRO;451
A BUSTAMANTE;696
RUTA NAC N 281;1286
ARISTIZABAL;1809
MINERALES;2625
PERITO MORENO;1333
GDOR GREGORES;56
ANTONIO SOTO;338
PAMPA ALTA;1585
A C MURIEGA V DE BRUNETTI;373
ARSENIO TUR;2755
ANTONIO BERNI;2827
DR ANGEL OYOLI;2436
PJE COCCOZ;2885
SAN JULIAN;1169
BAHIA AGUIRRE;857
YUGOSLAVIA;1020
ANTONIO RIVERO;781
FARO PINGUINO;47
CACHO VASQUEZ;983
ADOLFO IGLESIAS;1881
JARAMILLO;817
AV PRES NESTOR C KIRCHNER;1624
PJE S N;29
PJE JENKINS;1340
RIO GALLEGOS;2618
TTE ESTEVEZ;1051
DR FIORILLO;471
FORTIN SAN CARLOS;1165
GRL SAN MARTIN;1599
ARTURO W FENTON;1123
BENITO TRESGUERRES;804
AV PRES NESTOR C KIRCHNER;1905
ADOLFO BAQUIANO PAREJAS;278
PUERTO ARGENTINO;430
LAS HERAS;818
DON BOSCO;1548
BENITO PEREZ GALDOS;2195
A RODRIGUEZ;1962
ANGEL BANCIELLA;244
FITZ ROY;35
ANTONIO MACHADO;963
PROVINCIAS UNIDAS;2160
MAIPU;2419
LEZCANO MAESTRO;1526
JULIA DE LOPEZ;874
IGARZABAL;2506
RIO COLORADO;280
JULIA DE LOPEZ;1173
ANGEL VICENTE PENALOZA;1552
MARIANO MORENO;2086
ALMTE BROWN;1927
JOSE BACH;2339
13 DE JULIO;2841
MAGALLANES;2624
IGARZABAL;1120
RVDO PADRE JOSE KOLTUN;2809
IGR PORTELA;1811
PREFECTURA NAVAL ARGENTINA;1622
PJE JENKINS;2323
AVELLANEDA;1280
13 DE JULIO;241
ANGEL BANCIELLA;2326
ALBERT EINSTEIN;1457
ALBERTO GRILLO;1452
PJE RVDO PDRE TARCISIO FANTIN;1706
RECONQUISTA;2612
PJE S N;2491
PICO TRUNCADO;2308
IGR PORTELA;2788
ANTARTIDA ARGENTINA;2786
AYOHUMA;2378
RAMIRO RAMOS;582
DR RENE FAVALORO;75
ANGEL BANCIELLA;1234
RECONQUISTA;2309
TEHUELCHE;374
ALEJANDRO A BONINI;64
CRUCERO GRL BELGRANO;769
AMERICA;2885
TELLIER;819
PAMPA ALTA;1822
SARMIENTO;2212
FASIOLI;2452
ARTURO W FENTON;1745
RAMON SANTOS;355
BERNARDINO RIVADAVIA;2805
LAGO DEL DESIERTO;1548
VENEZUELA;1321
ANTONIO MACHADO;700
BENIGNO LAGO;662
BAHIA AGUIRRE;2299
CABILDO;736
ALFEREZ A SANCHEZ;2762
A RODRIGUEZ;2820
PJE DUJON;0
CABILDO;2501
COLONOS;1079
RAMIRO RAMOS;2018
ALMTE BROWN;2704
CABO PRIM VICTOR GUERRERO;1679
GDOR GREGORES;1714
BRASIL;922
RIO TURBIO;614
ALMTE BROWN;1597
PJE S N;46
PJE S N;2963
RIO TURBIO;314
BENITO PEREZ GALDOS;1539
DR AMERICO TOSELLO;1066
DR AMERICO TOSELLO;828
19 DE DICIEMBRE;597
BATALLA DE PUERTO ARGENTINO;526
PJE LORENZO WINTER;2720
MARTIN FIERRO;2274
A GARDINER;99
RIO COLORADO;252
BELLA VISTA;2144
MARTIN FIERRO;2833
PAMPA ALTA;1389
AMEGHINO;2781
ALBERTO ENCINAS;1805
PEATONAL;2135
ALCORTA;1909
RUTA NAC N 281;1760
FITZ ROY;2072
BAHIA BUEN SUCESO;1333
RUTA NAC N 281;2607
BATALLA DE PUERTO ARGENTINO;2526
CHALTEN;2374
GDOR GREGORES;1631
FASIOLI;1861
RAMIRO RAMOS;1905
ADOLFO BAQUIANO PAREJAS;180
PERITO MORENO;1901
CMTE LUIS PIEDRABUENA;2935
ALBERTO GRILLO;1972
25 DE MAYO;109
FACON GRANDE;1071
SAENZ PENA;2091
DR AMERICO TOSELLO;2076
TONINA;1254
AMERICA;1196
CABILDO;998
CMTE LUIS PIEDRABUENA;1806
AV PRES NESTOR C KIRCHNER;2817
EL CALAFATE;1374
19 DE DICIEMBRE;1412
TEHUELCHE;1671
ALEJANDRO SOLAR;1485
CACIQUE CASIMIRO BIGUA;2698
A SUREDA;277
A C MURIEGA V DE BRUNETTI;1887
PUEYRREDON;1076
ARISTIZABAL;2095
DR FIORILLO;595
PANAMA;510
BENITO QUINQUELA MARTIN;2666
BENITO PEREZ GALDOS;170
PJE DUJON;1225
20 DE JUNIO;1950
PREFECTURA NAVAL ARGENTINA;2670
PASEO DE LOS NAVEGANTES;2826
FORTIN SAN CARLOS;2531
JARAMILLO;2315
PJE S N;2741
RUTA NAC N 281;2095
A GARDINER;1852
PERITO MORENO;2219
CACIQUE IBANEZ RUFINO;2728
PATAGONIA;1647
ANTARTIDA ARGENTINA;1646
PJE LORENZO WINTER;2696
AV ASTURIAS;765
BAHIA AGUIRRE;1608
PJE S N;1477
PJE JENKINS;2525
PJE S N;774
DR ANGEL OYOLI;2695
ANTONIO ALVAREZ JONTE;1675
ALBERTO GRILLO;2379
BENITO QUINQUELA MARTIN;2560
BARTOLOME MITRE;2814
ARISTIZABAL;2981
ARTURO H ILLIA;443
13 DE JULIO;1909
ALBERTO GRILLO;471
RAMIRO RAMOS;2946
LEZCANO MAESTRO;2127
DR FERNANDEZ;655
DR FERNANDEZ;2378
13 DE JULIO;2768
ANTONIO ALVAREZ JONTE;358
EL CALAFATE;839
ARIAS;2175
GDOR PARADELO;1521
AYOHUMA;2539
PANAMA;1390
CRISTOBAL COLON;2857
AYOHUMA;10
ROSA DE WILSON;2345
ANGELA BRUNETTI;2116
GDOR GREGORES;2690
CACHO VASQUEZ;1059
MANUEL ESTRADA;2586
ALMAFUERTE;1196
ARIAS;2670
PANAMA;709
PJE DUJON;1995
LAGO ARGENTINO;875
ALBERTO JUAN BARK;1201
PROVINCIAS UNIDAS;1369
TRES LAGOS;622
ADOLFO BAQUIANO PAREJAS;1371
PJE RVDO PDRE TARCISIO FANTIN;2106
CABO PRIM VICTOR GUERRERO;1981
BARTOLOME MITRE;2381
CRUZ DEL SUR;1512
CORMORANES;1211
ANGELA BRUNETTI;1428
VENEZUELA;604
ANTONIO BERUTTI;271
ALEJANDRO A BONINI;2368
A RODRIGUEZ;2716
ARSENIO TUR;388
ANTONIO BALADO;1388
ITALIA;2125
BELL GRAHAM;2001
AVELLANEDA;2755
2 DE ABRIL;1393
ALEJANDRO SOLAR;1312
ALBERTO WILLIAMS;2547
MAIPU;139
PJE AMELUNG;1988
JULIA DE LOPEZ;1155
MONS ALEMAN;2379
IGR PORTELA;61
PASEO DE LOS NAVEGANTES;2048
ALBERT SABIN;1156
ALBERDI;1807
JARAMILLO;2113
ALEJANDRO SOLAR;2330
BRASIL;2285
IGR BRIANO;1216
ALFONSINA STORNI;103
MANUEL ESTRADA;41
PORTUGAL;1607
FASIOLI;1571
PUEYRREDON;2897
2 DE ABRIL;1225
CACIQUE POCON;1466
CACIQUE IBANEZ RUFINO;2386
ARIAS;2321
AVELLANEDA;911
COMODORO PY;2411
AMEGHINO;2934
RIO TURBIO;2968
RIVADAVIA;821
PEATONAL;1530
LAGO DEL DESIERTO;581
ALBERDI;1657
LOS ANTIGUOS;2935
ALFONSINA STORNI;1029
ADOLFO IGLESIAS;2858
VAPOR LOIRE;513
MALVINAS;1909
GDOR RAMON LISTA;1474
DON BOSCO;1421
ANTONIO BERUTTI;274
AMERICA;2502
A C MURIEGA V DE BRUNETTI;1781
13 DE JULIO;141
ADOLFO BAQUIANO PAREJAS;1486
2 DE ABRIL;2398
BATALLA DE PUERTO ARGENTINO;2126
SAN JULIAN;1102
ADOLFO IGLESIAS;2060
PJE S N;1045
CERRO BLANCO;2374
AV PRES NESTOR C KIRCHNER;2908
GRL SAN MARTIN;2383
20 DE JUNIO;1370
ALVEAR;2492
TTE ESTEVEZ;604
GDOR RAMON LISTA;2641
PJE S N;1220
VENEZUELA;911
ESPANA;1372
GDOR GREGORES;1025
VAPOR LOIRE;2484
EL CALAFATE;2894
PESCADORES;195
PUERTO ARGENTINO;1074
GRL SAN MARTIN;1782
PORTUGAL;1107
PJE S N;314
AMADO NERVO;280
PERITO MORENO;405
ALFEREZ A SANCHEZ;2466
GRL SAN MARTIN;2877
BAHIA BUEN SUCESO;1198
AFRICA;2402
PATAGONIA;1730
MAIPU;1046
PICO TRUNCADO;1967
YUGOSLAVIA;171
ATAHUALPA YUPANQUI;2223
AV ASTURIAS;1535
ALEJANDRO A BONINI;2497
CRUZ DEL SUR;496
PREFECTURA NAVAL ARGENTINA;2488
CRISTOBAL COLON;971
ANTONIO RIVERO;2813
ANGEL BANCIELLA;707
FORTIN SAN CARLOS;823
ALBERT SABIN;1869
SARMIENTO;1793
JOSE BACH;683
ANTONIO MACHADO;839
ARSENIO TUR;2919
ANGELA BRUNETTI;693
VAPOR LOIRE;1513
EUFRASIA ARIAS;565
VENEZUELA;2983
AYOHUMA;950
TEHUELCHE;584
ALBERT EINSTEIN;829
ANGELA BRUNETTI;1360
BARTOLOME PEREZ;2013
PEATONAL;2345
PEATONAL;2964
AVELLANEDA;2655
PJE S N;589
TTE ESTEVEZ;595
RUTA NAC N 281;306
ANTONIO BERUTTI;2026
RIO COLORADO;1349
ANTONIO BERUTTI;2310
IGR PORTELA;1636
PERITO MORENO;181
SANTA CRUZ;1329
RECONQUISTA;1735
PJE RVDO PDRE TARCISIO FANTIN;2106
A RODRIGUEZ;1777
CACIQUE YATEL;946
KOLEL KAIKE;966
CHALTEN;115
MARIANO MORENO;1441
DR RENE FAVALORO;1471
ANGEL VICENTE PENALOZA;2144
ANGEL CARNOTA;734
TONINA;2529
BARTOLOME MITRE;789
GDOR RAMON LISTA;2285
FASIOLI;946
BENITO QUINQUELA MARTIN;2194
PEATONAL;2586
RIO GALLEGOS;857
SAENZ PENA;446
ALVEAR;1448
CORMORANES;1196
RIO TURBIO;2727
EUFRASIA ARIAS;1080
ALVEAR;1257
ANTONIO MACHADO;2982
LOS ANTIGUOS;972
PROVINCIAS UNIDAS;90
ATAHUALPA YUPANQUI;2206
CRUZ DEL SUR;1538
PJE S N;1937
RAMON SANTOS;1757
TRES LAGOS;359
ANTONIO MACHADO;2706
ANTONIO BALADO;1528
GDOR RAMON LISTA;1407
BARTOLOME PEREZ;2954
A SUREDA;1137
GDOR GREGORES;1742
LEZCANO MAESTRO;2613
PREFECTURA NAVAL ARGENTINA;787
GDOR GREGORES;663
CRUCERO GRL BELGRANO;2502
EL CALAFATE;1418
13 DE JULIO;1275
A SUREDA;1428
MARTIN FIERRO;836
